,Video_URL,Thumbnails_URL,Title,Views,Published_date
85,https://www.youtube.com/watch?v=sMVTy0Mx38o,https://i.ytimg.com/vi/sMVTy0Mx38o/hqdefault.jpg,Online पढ़ाई के ऊपर अब और Bharosa है..!! 💪🏻🔥 #PWShorts #PhysicsWallah,5297,2023-05-18
86,https://www.youtube.com/watch?v=cGfKejEcg1g,https://i.ytimg.com/vi/cGfKejEcg1g/hqdefault.jpg,इतने sujects में 100/100 आए हैं..!!💪🏻   #PWShorts #PhysicsWallah,8312,2023-05-18
87,https://www.youtube.com/watch?v=tpqbvEs4ZAk,https://i.ytimg.com/vi/tpqbvEs4ZAk/hqdefault.jpg,अब बस JEE Crack करना है..!! 💪🏻#PWShorts #PhysicsWallah,13301,2023-05-18
88,https://www.youtube.com/watch?v=HrekR-iym6s,https://i.ytimg.com/vi/HrekR-iym6s/hqdefault.jpg,Parents ने हमेशा साथ दिया..!!🔥💯   #PWShorts #PhysicsWallah,4472,2023-05-18
89,https://www.youtube.com/watch?v=tXrKzOtYEk4,https://i.ytimg.com/vi/tXrKzOtYEk4/hqdefault.jpg,आगे की Journey भी pw के साथ करेंगे..!! 🔥💯 #PWShorts #PhysicsWallah,5612,2023-05-18
90,https://www.youtube.com/watch?v=_6JX02sq-x0,https://i.ytimg.com/vi/_6JX02sq-x0/hqdefault.jpg,Tension लेकर पढाई नहीं करनी..!!💯🔥  #PWShorts #PhysicsWallah,6080,2023-05-18
91,https://www.youtube.com/watch?v=d71gOtyzRAc,https://i.ytimg.com/vi/d71gOtyzRAc/hqdefault.jpg,Distractions se kaise bache..??😨 #PWShorts #PhysicsWallah,8507,2023-05-18
92,https://www.youtube.com/watch?v=B3DWVy170UY,https://i.ytimg.com/vi/B3DWVy170UY/hqdefault.jpg,Bachee hi hamari motivation hai.. 💪🔥 #PWShorts #PhysicsWallah,12555,2023-05-18
93,https://www.youtube.com/watch?v=_B3yvdSkA3w,https://i.ytimg.com/vi/_B3yvdSkA3w/hqdefault.jpg,Jee ko phodna hai aab..!! 🔥 #PWShorts #PhysicsWallah,8020,2023-05-18
94,https://www.youtube.com/watch?v=rDxWx7t8oJA,https://i.ytimg.com/vi/rDxWx7t8oJA/hqdefault.jpg,11th में अब पूरे Focus के साथ पढ़ना hai..!! 🔥 #PWShorts #PhysicsWallah,9133,2023-05-17
